id,dataset,role,question,answer,gold_theme,gold_sentiment
g0001,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,que fuera fraude,trust_legitimacy,
g0002,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Comprar en una pagina que no conozco,trust_legitimacy,
g0003,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,que tardara mucho el envío,shipping_delivery,
g0004,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Sin quimicos,ingredients_safety,
g0005,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,que no llegue a mi ciudad,shipping_delivery,
g0006,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,joint pain.,health_goal,
g0007,apparel_pdp_poll.csv,pdp_blocker,"Cuéntanos, ¿cuál es?",¿Tienen devoluciones?,customer_service_returns,
g0008,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Me urgía,other,
g0009,apparel_pdp_poll.csv,pdp_blocker,"Cuéntanos, ¿cuál es?",que talla le queda a un nino de 4 anos.,size_fit,
g0010,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Porque si funcionan,efficacy_results,
g0011,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,me urgía.,other,
g0012,apparel_pdp_poll.csv,pdp_blocker,"Cuéntanos, ¿cuál es?",Ninguna gracias,other,
g0013,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Me ugía,other,
g0014,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,that it wouldn't work,efficacy_results,
g0015,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Dolor de rodills,health_goal,
g0016,fragrance_reviews.csv,review,body,Nunca llego mi pedido,shipping_delivery,Negative
g0017,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,ninguna,no_concern,
g0018,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,"mejorar mi digestión, vivo inflamada",health_goal,
g0019,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Clean ingredints,ingredients_safety,
g0020,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,El precio.,price_value,
g0021,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Sigo a la nutrióloga enInstagram y la recomienda,social_proof,
g0022,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,se nota la diferencia,efficacy_results,
g0023,fragrance_reviews.csv,review,body,Excelente. Me encanta 😍,other,Positive
g0024,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Que no llegue a mi ciudad,shipping_delivery,
g0025,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,controlar la ansiedad.,health_goal,
g0026,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,El precio,price_value,
g0027,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Cansancio todo el tiempo,health_goal,
g0028,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Me lo recomendo una amiga,social_proof,
g0029,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Siempre les compro,repeat_loyalty,
g0030,wellness_post_purchase.csv,hesitation,¿Qué te causaba incertidumbre antes de comprar con nosotros?,Que fuera puro marketing,efficacy_results,
g0031,wellness_post_purchase.csv,choice_driver,¿Qué te hizo comprar con nosotros antes que otra marca?,Mi hermana los usa y le fue muy bien,social_proof,
g0032,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,se me cae mucho el cabello,health_goal,
g0033,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,Resistencia a la insulina,health_goal,
g0034,wellness_post_purchase.csv,purchase_reason,¿Cuál es el problema más importante que esperas resolver con nuestros productos?,tener mas energia en el dia,health_goal,
