Created Date,handle,¡Hola! ¿Tienes alguna inquietud o duda que te dificulte comprar?,"Cuéntanos, ¿cuál es?",ipAddress
08/20/2024 12:21pm,sudadera-luna,Sí,¿El envío es grtis?,203.0.113.85
08/25/2024 10:54pm,pijama-azul,No,,203.0.113.186
08/05/2024 05:30pm,sudadera-luna,No,,203.0.113.108
08/18/2024 11:53pm,pijama-azul,Sí,¿el envío es gratis?,203.0.113.110
08/24/2024 02:29pm,pijama-estrellas,No,,203.0.113.200
08/04/2024 07:25pm,pijama-azul,No,,203.0.113.217
08/07/2024 11:47pm,pijama-azul,No,,203.0.113.123
08/22/2024 12:38pm,pijama-estrellas,No,,203.0.113.180
08/24/2024 12:21pm,vestido-nube,Sí,tienen tabla de medidas?,203.0.113.184
08/10/2024 10:32pm,pijama-estrellas,Sí,que talla le queda a un niño de 4 años,203.0.113.114
08/16/2024 04:24pm,vestido-nube,No,,203.0.113.171
08/20/2024 01:11pm,vestido-nube,No,,203.0.113.15
08/27/2024 10:26pm,set-dinosaurio,No,,203.0.113.202
08/15/2024 04:21pm,sudadera-luna,No,,203.0.113.252
08/12/2024 12:41pm,pijama-estrellas,No,,203.0.113.38
08/23/2024 12:12pm,pijama-estrellas,No,,203.0.113.246
08/29/2024 01:13pm,pijama-azul,No,,203.0.113.102
08/24/2024 05:27pm,pijama-azul,Sí,Tienen tabla de medidas?,203.0.113.124
08/11/2024 02:53pm,sudadera-luna,No,,203.0.113.254
08/08/2024 07:26pm,vestido-nube,No,,203.0.113.48
08/03/2024 04:18pm,pijama-estrellas,Sí,¿e qué material es?,203.0.113.116
08/28/2024 06:27pm,vestido-nube,No,,203.0.113.105
08/28/2024 11:44pm,vestido-nube,No,,203.0.113.30
08/25/2024 11:22pm,pijama-estrellas,No,,203.0.113.128
08/31/2024 12:41pm,pijama-azul,No,,203.0.113.159
08/27/2024 04:38pm,set-dinosaurio,No,,203.0.113.254
08/23/2024 08:51pm,set-dinosaurio,No,,203.0.113.45
08/23/2024 09:17pm,sudadera-luna,No,,203.0.113.180
08/14/2024 05:26pm,sudadera-luna,No,,203.0.113.24
08/07/2024 09:32pm,pijama-azul,Sí,talla,203.0.113.106
08/23/2024 01:02pm,pijama-azul,No,,203.0.113.221
08/23/2024 07:17pm,vestido-nube,No,,203.0.113.82
08/25/2024 10:31pm,vestido-nube,No,,203.0.113.95
08/20/2024 09:23pm,pijama-azul,No,,203.0.113.202
08/30/2024 10:30pm,pijama-estrellas,No,,203.0.113.115
